chr1	x1	x2	chr2	y1	y2	color	comment
chr1	900000	1000000	chr1	2100000	2200000	0,0,255	significant differentially interacting region
chr1	900000	1000000	chr1	2300000	2400000	0,0,255	significant differentially interacting region
chr1	1000000	1100000	chr1	4000000	4100000	0,0,255	significant differentially interacting region
chr1	1100000	1200000	chr1	2100000	2200000	0,0,255	significant differentially interacting region
chr1	1100000	1200000	chr1	2300000	2400000	0,0,255	significant differentially interacting region
chr1	1100000	1200000	chr1	3400000	3500000	0,0,255	significant differentially interacting region
chr1	1100000	1200000	chr1	4400000	4500000	0,0,255	significant differentially interacting region
chr1	1100000	1200000	chr1	4600000	4700000	0,0,255	significant differentially interacting region
chr1	1200000	1300000	chr1	2300000	2400000	0,0,255	significant differentially interacting region
chr1	1200000	1300000	chr1	3700000	3800000	0,0,255	significant differentially interacting region
chr1	1300000	1400000	chr1	2100000	2200000	0,0,255	significant differentially interacting region
chr1	1300000	1400000	chr1	4300000	4400000	0,0,255	significant differentially interacting region
chr1	1400000	1500000	chr1	4100000	4200000	0,0,255	significant differentially interacting region
chr1	1700000	1800000	chr1	4000000	4100000	0,0,255	significant differentially interacting region
chr1	1800000	1900000	chr1	4400000	4500000	0,0,255	significant differentially interacting region
chr1	1900000	2000000	chr1	4700000	4800000	0,0,255	significant differentially interacting region
chr1	1900000	2000000	chr1	5400000	5500000	0,0,255	significant differentially interacting region
chr1	2100000	2200000	chr1	5400000	5500000	0,0,255	significant differentially interacting region
chr1	2400000	2500000	chr1	4400000	4500000	0,0,255	significant differentially interacting region
chr1	2500000	2600000	chr1	3000000	3100000	0,0,255	significant differentially interacting region
chr1	2500000	2600000	chr1	3100000	3200000	0,0,255	significant differentially interacting region
chr1	2500000	2600000	chr1	3200000	3300000	0,0,255	significant differentially interacting region
chr1	2500000	2600000	chr1	3800000	3900000	0,0,255	significant differentially interacting region
chr1	2600000	2700000	chr1	6400000	6500000	0,0,255	significant differentially interacting region
chr1	2600000	2700000	chr1	6500000	6600000	0,0,255	significant differentially interacting region
chr1	3100000	3200000	chr1	4000000	4100000	0,0,255	significant differentially interacting region
chr1	3800000	3900000	chr1	4500000	4600000	0,0,255	significant differentially interacting region
chr1	3800000	3900000	chr1	4900000	5000000	0,0,255	significant differentially interacting region
chr1	3800000	3900000	chr1	5100000	5200000	0,0,255	significant differentially interacting region
chr1	3800000	3900000	chr1	5200000	5300000	0,0,255	significant differentially interacting region
chr1	3800000	3900000	chr1	5300000	5400000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5000000	5100000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5200000	5300000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5400000	5500000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5500000	5600000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5600000	5700000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5700000	5800000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5800000	5900000	0,0,255	significant differentially interacting region
chr1	3900000	4000000	chr1	5900000	6000000	0,0,255	significant differentially interacting region
chr1	4400000	4500000	chr1	4700000	4800000	0,0,255	significant differentially interacting region
chr1	4400000	4500000	chr1	4800000	4900000	0,0,255	significant differentially interacting region
chr1	4400000	4500000	chr1	5200000	5300000	0,0,255	significant differentially interacting region
chr1	4400000	4500000	chr1	5300000	5400000	0,0,255	significant differentially interacting region
chr1	4500000	4600000	chr1	4800000	4900000	0,0,255	significant differentially interacting region
chr1	4500000	4600000	chr1	5200000	5300000	0,0,255	significant differentially interacting region
chr1	4500000	4600000	chr1	5300000	5400000	0,0,255	significant differentially interacting region
chr1	4700000	4800000	chr1	5300000	5400000	0,0,255	significant differentially interacting region
chr1	5500000	5600000	chr1	30500000	30600000	0,0,255	significant differentially interacting region
chr1	5500000	5600000	chr1	37600000	37700000	0,0,255	significant differentially interacting region
chr1	5800000	5900000	chr1	7000000	7100000	0,0,255	significant differentially interacting region
chr1	5900000	6000000	chr1	6800000	6900000	0,0,255	significant differentially interacting region
chr1	5900000	6000000	chr1	6900000	7000000	0,0,255	significant differentially interacting region
chr1	9300000	9400000	chr1	9500000	9600000	0,0,255	significant differentially interacting region
chr1	11500000	11600000	chr1	12400000	12500000	0,0,255	significant differentially interacting region
chr1	12100000	12200000	chr1	13700000	13800000	0,0,255	significant differentially interacting region
chr1	12200000	12300000	chr1	12700000	12800000	0,0,255	significant differentially interacting region
